Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,44.40,45.48,45.48,44.00,307.63K,-2.55%
Apr 18  2016,45.56,44.51,45.85,44.51,114.02K,1.70%
Apr 15  2016,44.80,45.16,45.38,44.59,81.93K,-0.67%
Apr 14  2016,45.10,46.23,46.25,44.84,295.63K,-1.96%
Apr 13  2016,46.00,46.51,46.57,45.69,146.05K,-0.26%
Apr 12  2016,46.12,46.47,47.24,45.64,145.75K,0.39%
Apr 11  2016,45.94,45.44,46.13,44.51,177.88K,1.57%
Apr 08  2016,45.23,47.70,47.70,44.95,280.27K,-5.22%
Apr 07  2016,47.72,48.27,48.27,46.45,230.57K,-2.27%
Apr 06  2016,48.83,48.74,49.90,48.23,181.15K,0.62%
Apr 05  2016,48.53,49.02,49.58,48.53,156.55K,-1.98%
Apr 04  2016,49.51,51.71,51.71,49.40,112.01K,-3.23%
Apr 01  2016,51.16,51.78,53.42,50.87,317.01K,-1.82%
Mar 31  2016,52.11,53.90,53.90,51.99,499.95K,-3.34%
Mar 30  2016,53.91,52.02,54.18,52.02,578.57K,3.71%
Mar 29  2016,51.98,49.43,52.06,48.48,304.22K,5.82%
Mar 28  2016,49.12,47.64,49.19,46.89,132.47K,3.37%
Mar 24  2016,47.52,46.31,48.09,46.31,219.29K,0.15%
Mar 23  2016,47.45,49.70,49.79,47.05,264.41K,-4.53%
Mar 22  2016,49.70,49.45,50.17,49.31,241.38K,-0.40%
Mar 21  2016,49.90,49.15,50.69,49.00,427.16K,1.16%
Mar 18  2016,49.33,49.37,50.56,48.75,259.05K,-0.10%
Mar 17  2016,49.38,46.60,49.49,46.50,204.65K,5.99%
Mar 16  2016,46.59,45.81,46.72,45.81,404.84K,1.75%
Mar 15  2016,45.79,46.45,46.62,45.56,209.41K,-2.57%
Mar 14  2016,47.00,46.89,47.31,46.23,288.66K,-0.53%
Mar 11  2016,47.25,46.70,47.36,45.70,377.27K,2.74%
Mar 10  2016,45.99,45.88,47.02,45.46,246.09K,-0.78%
Mar 09  2016,46.35,48.11,48.11,45.81,395.05K,-3.32%
Mar 08  2016,47.94,46.32,48.88,46.29,460.92K,2.55%
Mar 07  2016,46.75,46.34,47.32,46.27,249.50K,0.67%
Mar 04  2016,46.44,44.16,46.60,44.06,403.35K,6.46%
Mar 03  2016,43.62,42.38,43.80,42.38,252.63K,2.27%
Mar 02  2016,42.65,42.67,43.43,42.07,228.66K,0.00%
Mar 01  2016,42.65,42.40,42.88,41.46,293.46K,1.96%
Feb 29  2016,41.83,41.38,41.94,40.77,179.92K,2.20%
Feb 26  2016,40.93,39.97,41.10,39.81,92.65K,3.80%
Feb 25  2016,39.43,39.41,39.66,38.08,220.04K,0.18%
Feb 24  2016,39.36,39.50,39.77,38.88,187.88K,-1.16%
Feb 23  2016,39.82,41.12,41.13,39.77,129.63K,-3.28%
Feb 22  2016,41.17,41.40,42.26,41.05,163.00K,0.66%
Feb 19  2016,40.90,39.99,41.24,39.01,342.84K,1.59%
Feb 18  2016,40.26,40.79,40.85,39.45,184.89K,-0.72%
Feb 17  2016,40.55,39.65,41.29,39.65,404.47K,0.50%
Feb 16  2016,40.35,42.50,42.53,39.08,395.70K,-1.51%
Feb 12  2016,40.97,40.63,41.99,40.27,311.69K,-2.06%
Feb 11  2016,41.83,42.50,42.87,40.25,160.37K,-2.15%
Feb 10  2016,42.75,43.43,44.20,42.64,208.50K,-0.26%
Feb 09  2016,42.86,42.99,43.14,41.77,209.10K,-1.47%
Feb 08  2016,43.50,45.15,45.39,42.97,186.63K,-6.25%
Feb 05  2016,46.40,47.37,47.39,45.76,215.23K,-1.74%
Feb 04  2016,47.22,44.89,47.38,44.83,121.92K,5.33%
Feb 03  2016,44.83,45.63,45.63,43.85,193.35K,-0.29%
Feb 02  2016,44.96,46.35,47.00,44.47,267.53K,-5.98%
Feb 01  2016,47.82,48.31,48.31,46.85,180.02K,-0.69%
Jan 29  2016,48.15,45.35,48.38,44.79,273.33K,6.43%
Jan 28  2016,45.24,45.80,45.88,44.13,98.58K,-0.15%
Jan 27  2016,45.31,46.08,47.70,44.87,154.59K,-1.76%
Jan 26  2016,46.12,44.96,46.72,44.57,155.01K,3.99%
Jan 25  2016,44.35,45.03,45.53,43.91,160.99K,-2.83%
Jan 22  2016,45.64,44.68,48.81,44.02,317.18K,8.28%
Jan 21  2016,42.15,40.76,42.91,40.19,201.91K,3.26%
Jan 20  2016,40.82,41.09,41.11,39.54,187.43K,-1.87%
Jan 19  2016,41.60,43.13,43.13,41.05,196.18K,-1.19%
Jan 18  2016,42.10,42.85,42.85,41.61,50.32K,-0.59%
Jan 15  2016,42.35,41.25,43.17,41.19,180.40K,-2.49%
Jan 14  2016,43.43,42.09,43.66,41.59,265.44K,3.87%
Jan 13  2016,41.81,42.47,43.74,41.35,287.03K,0.50%
Jan 12  2016,41.60,43.41,44.72,41.15,418.17K,-4.13%
Jan 11  2016,43.39,45.06,45.13,41.93,304.25K,-3.10%
Jan 08  2016,44.78,46.26,47.00,44.60,151.33K,-2.40%
Jan 07  2016,45.88,46.85,47.20,44.70,319.28K,-5.71%
Jan 06  2016,48.66,49.75,50.08,48.00,472.92K,-3.47%
Jan 05  2016,50.41,52.15,52.17,49.67,216.35K,-3.04%
Jan 04  2016,51.99,51.35,52.18,49.75,144.68K,-1.03%
Dec 31  2015,52.53,52.21,52.88,51.20,67.68K,-0.06%
Dec 30  2015,52.56,53.89,53.91,52.17,86.89K,-1.28%
Dec 29  2015,53.24,54.77,54.77,52.46,86.56K,-1.97%
Dec 24  2015,54.31,53.60,54.52,53.60,34.37K,1.38%
Dec 23  2015,53.57,52.55,53.86,52.05,93.78K,2.57%
Dec 22  2015,52.23,53.00,53.00,51.51,136.27K,-1.08%
Dec 21  2015,52.80,53.47,53.47,51.59,167.48K,-0.38%
Dec 18  2015,53.00,52.50,53.52,51.65,406.32K,0.53%
Dec 17  2015,52.72,52.35,53.40,51.92,164.12K,0.48%
Dec 16  2015,52.47,50.95,53.31,50.49,319.24K,4.27%
Dec 15  2015,50.32,50.21,50.81,49.65,165.68K,1.41%
Dec 14  2015,49.62,51.14,51.60,48.83,222.78K,-2.80%
Dec 11  2015,51.05,52.47,52.64,50.74,160.49K,-4.22%
Dec 10  2015,53.30,50.83,53.84,50.73,207.67K,4.86%
Dec 09  2015,50.83,51.81,53.28,50.39,218.66K,-2.06%
Dec 08  2015,51.90,52.17,53.35,51.24,257.38K,-2.90%
Dec 07  2015,53.45,53.58,53.75,51.82,127.20K,-0.37%
Dec 04  2015,53.65,52.59,54.43,52.10,137.98K,1.74%
Dec 03  2015,52.73,54.40,54.91,52.47,123.56K,-2.46%
Dec 02  2015,54.06,55.75,55.75,53.63,260.72K,-2.87%
Dec 01  2015,55.66,55.14,55.99,54.83,218.14K,1.53%
Nov 30  2015,54.82,53.92,55.09,53.85,243.95K,2.05%
Nov 27  2015,53.72,53.70,54.48,53.13,52.92K,0.15%
Nov 26  2015,53.64,53.26,54.33,52.66,71.63K,1.36%
Nov 25  2015,52.92,52.59,53.04,52.42,116.50K,0.53%
Nov 24  2015,52.64,52.03,52.88,51.04,250.47K,1.58%
Nov 23  2015,51.82,51.40,52.59,50.78,172.14K,0.88%
Nov 20  2015,51.37,50.90,51.94,50.06,182.62K,1.22%
Nov 19  2015,50.75,48.94,51.07,48.23,311.81K,4.42%
Nov 18  2015,48.60,46.82,48.95,46.82,412.92K,3.93%
Nov 17  2015,46.76,47.05,47.22,46.01,200.12K,0.15%
Nov 16  2015,46.69,46.22,47.32,45.51,172.03K,0.60%
Nov 13  2015,46.41,46.35,47.25,45.52,125.68K,-0.19%
Nov 12  2015,46.50,46.26,47.18,45.58,157.18K,-1.15%
Nov 11  2015,47.04,46.10,48.65,46.10,197.32K,1.40%
Nov 10  2015,46.39,46.28,46.96,45.47,136.01K,-0.22%
Nov 09  2015,46.49,46.98,47.58,45.72,126.11K,-0.51%
Nov 06  2015,46.73,47.07,47.67,45.96,125.86K,-1.23%
Nov 05  2015,47.31,46.30,47.80,45.62,279.37K,1.52%
Nov 04  2015,46.60,47.30,47.56,45.37,333.66K,-1.02%
Nov 03  2015,47.08,47.07,47.71,46.50,141.39K,0.02%
Nov 02  2015,47.07,46.20,47.28,46.00,114.14K,1.73%
Oct 30  2015,46.27,46.38,46.63,45.10,513.03K,-1.30%
Oct 29  2015,46.88,46.17,47.32,45.64,190.71K,1.10%
Oct 28  2015,46.37,45.36,46.59,44.30,541.68K,2.16%
Oct 27  2015,45.39,47.00,47.48,44.80,260.28K,-3.43%
Oct 26  2015,47.00,48.78,48.78,46.97,265.22K,-1.09%
Oct 23  2015,47.52,45.83,47.74,45.83,337.89K,3.66%
Oct 22  2015,45.84,45.35,46.85,44.95,282.33K,1.53%
Oct 21  2015,45.15,46.18,46.18,44.18,235.05K,-2.04%
Oct 20  2015,46.09,46.16,47.44,45.41,193.45K,-0.13%
Oct 19  2015,46.15,47.61,47.90,45.18,307.78K,-3.67%
Oct 16  2015,47.91,48.03,48.45,47.36,236.54K,0.48%
Oct 15  2015,47.68,47.60,48.93,47.60,197.65K,0.21%
Oct 14  2015,47.58,48.20,48.32,46.92,218.01K,-0.44%
Oct 13  2015,47.79,48.50,48.84,47.66,317.02K,-1.61%
Oct 09  2015,48.57,47.15,48.72,47.15,238.91K,3.58%
Oct 08  2015,46.89,45.79,47.05,45.43,218.54K,1.98%
Oct 07  2015,45.98,42.76,46.63,42.37,457.13K,9.19%
Oct 06  2015,42.11,41.70,42.28,41.60,284.43K,1.49%
Oct 05  2015,41.49,41.41,42.15,41.15,469.95K,1.20%
Oct 02  2015,41.00,41.23,41.27,40.56,612.35K,-0.32%
Oct 01  2015,41.13,42.36,42.57,40.94,457.90K,-3.00%
Sep 30  2015,42.40,44.01,44.07,42.01,440.08K,-3.00%
Sep 29  2015,43.71,45.81,46.42,43.57,317.21K,-4.02%
Sep 28  2015,45.54,47.64,47.99,45.35,179.83K,-4.97%
Sep 25  2015,47.92,47.08,48.42,47.07,123.96K,2.24%
Sep 24  2015,46.87,48.01,48.01,46.33,277.28K,-2.76%
Sep 23  2015,48.20,48.60,49.32,47.62,155.60K,-0.70%
Sep 22  2015,48.54,49.92,49.92,48.45,279.93K,-3.44%
Sep 21  2015,50.27,50.05,51.10,49.58,139.97K,0.50%
Sep 18  2015,50.02,51.67,51.85,49.92,212.18K,-3.38%
Sep 17  2015,51.77,51.69,53.02,51.43,319.85K,-0.80%
Sep 16  2015,52.19,49.62,52.31,49.62,972.66K,5.43%
Sep 15  2015,49.50,49.98,50.70,49.34,429.42K,-0.80%
Sep 14  2015,49.90,52.07,52.16,49.60,313.30K,-5.17%
Sep 11  2015,52.62,50.17,52.89,50.17,280.03K,6.45%
Sep 10  2015,49.43,49.93,50.72,49.13,222.50K,-1.57%
Sep 09  2015,50.22,50.87,51.07,50.10,99.09K,-0.89%
Sep 08  2015,50.67,51.24,51.33,50.33,96.37K,0.60%
Sep 04  2015,50.37,49.37,51.19,49.37,199.15K,0.38%
Sep 03  2015,50.18,49.04,50.86,48.96,211.38K,2.51%
Sep 02  2015,48.95,49.61,50.12,48.68,209.28K,-0.47%
Sep 01  2015,49.18,49.52,50.89,48.64,274.95K,-4.00%
Aug 31  2015,51.23,51.26,52.31,50.31,317.94K,-1.02%
Aug 28  2015,51.76,49.68,51.80,48.68,496.23K,4.04%
Aug 27  2015,49.75,50.50,50.81,48.93,331.14K,-0.44%
Aug 26  2015,49.97,51.01,51.01,48.97,234.67K,0.08%
Aug 25  2015,49.93,51.75,51.75,49.23,456.29K,-1.64%
Aug 24  2015,50.76,46.49,52.30,45.64,366.90K,-1.61%
Aug 21  2015,51.59,52.90,54.04,51.19,372.49K,-3.46%
Aug 20  2015,53.44,52.14,53.76,50.60,306.54K,1.42%
Aug 19  2015,52.69,55.02,55.02,52.49,225.33K,-3.76%
Aug 18  2015,54.75,54.00,55.00,53.70,209.78K,1.07%
Aug 17  2015,54.17,54.40,55.30,53.61,203.24K,-0.61%
Aug 14  2015,54.50,52.91,54.67,52.91,136.47K,2.66%
Aug 13  2015,53.09,53.27,54.34,53.04,206.40K,-0.47%
Aug 12  2015,53.34,55.20,55.21,53.09,249.25K,-3.86%
Aug 11  2015,55.48,56.77,56.77,54.90,239.41K,-2.68%
Aug 10  2015,57.01,56.66,57.95,56.65,286.28K,0.99%
Aug 07  2015,56.45,56.86,57.14,55.58,302.41K,-0.41%
Aug 06  2015,56.68,58.16,58.17,56.37,324.84K,-2.17%
Aug 05  2015,57.94,58.71,59.36,57.93,402.61K,-0.62%
Aug 04  2015,58.30,56.77,58.84,56.69,414.65K,1.30%
Jul 31  2015,57.55,56.78,58.08,56.69,315.16K,1.88%
Jul 30  2015,56.49,56.25,58.00,56.23,248.16K,-0.55%
Jul 29  2015,56.80,56.17,57.62,56.17,252.05K,-0.14%
Jul 28  2015,56.88,56.21,57.89,56.21,349.05K,0.44%
Jul 27  2015,56.63,57.48,57.57,55.79,456.91K,-2.78%
Jul 24  2015,58.25,60.48,60.48,58.08,466.34K,-3.32%
Jul 23  2015,60.25,63.82,63.89,60.12,408.89K,-5.58%
Jul 22  2015,63.81,62.00,64.00,61.50,637.16K,-4.17%
Jul 21  2015,66.59,68.04,68.58,66.01,177.19K,-3.01%
Jul 20  2015,68.66,68.04,68.75,67.37,204.07K,-0.15%
Jul 17  2015,68.76,68.86,69.14,68.40,233.45K,-0.33%
Jul 16  2015,68.99,69.50,70.05,68.78,179.90K,-0.40%
Jul 15  2015,69.27,69.86,70.00,68.67,272.17K,-0.19%
Jul 14  2015,69.40,69.01,70.07,68.58,124.01K,-0.40%
Jul 13  2015,69.68,67.55,69.83,67.09,160.68K,3.98%
Jul 10  2015,67.01,66.55,67.58,66.28,197.77K,1.96%
Jul 09  2015,65.72,67.98,67.98,64.92,199.24K,-2.20%
Jul 08  2015,67.20,68.40,69.15,66.60,184.56K,-2.18%
Jul 07  2015,68.70,68.70,69.15,66.92,177.51K,-0.04%
Jul 06  2015,68.73,68.79,69.32,67.83,212.63K,-1.11%
Jul 03  2015,69.50,69.01,69.50,69.01,61.26K,0.56%
Jul 02  2015,69.11,68.79,69.78,68.07,140.20K,0.70%
Jun 30  2015,68.63,68.01,69.00,67.17,264.08K,1.34%
Jun 29  2015,67.72,68.28,68.95,67.49,189.97K,-2.97%
Jun 26  2015,69.79,70.14,71.13,69.50,106.17K,-0.27%
Jun 25  2015,69.98,68.54,70.11,68.25,258.78K,2.47%
Jun 24  2015,68.29,69.55,69.55,67.61,182.80K,-1.74%
Jun 23  2015,69.50,69.31,69.51,68.68,188.05K,0.10%
Jun 22  2015,69.43,67.81,69.62,67.75,132.58K,2.54%
Jun 19  2015,67.71,67.74,69.42,67.06,367.77K,-0.76%
Jun 18  2015,68.23,69.48,69.60,68.11,164.07K,-1.88%
Jun 17  2015,69.54,69.83,70.00,68.45,262.50K,-0.40%
Jun 16  2015,69.82,69.36,70.25,68.51,391.35K,1.70%
Jun 15  2015,68.65,68.02,68.73,67.41,104.64K,0.76%
Jun 12  2015,68.13,68.19,68.58,66.53,88.12K,-0.10%
Jun 11  2015,68.20,67.77,68.51,66.60,156.58K,0.03%
Jun 10  2015,68.18,66.40,68.85,66.16,260.12K,2.65%
Jun 09  2015,66.42,65.41,66.54,65.12,193.74K,1.44%
Jun 08  2015,65.48,67.51,67.80,64.82,173.18K,-3.54%
Jun 05  2015,67.88,67.98,68.35,67.09,164.44K,-0.15%
Jun 04  2015,67.98,67.42,68.86,67.01,198.11K,0.49%
Jun 03  2015,67.65,68.69,68.72,67.40,248.69K,-0.65%
Jun 02  2015,68.09,68.74,68.83,67.80,98.69K,-1.28%
Jun 01  2015,68.97,68.60,69.53,67.96,173.68K,0.57%
May 29  2015,68.58,69.64,69.97,68.39,180.11K,-1.05%
May 28  2015,69.31,68.85,70.00,68.69,393.41K,0.65%
May 27  2015,68.86,69.32,69.82,68.55,140.94K,-0.59%
May 26  2015,69.27,69.85,70.03,69.08,87.21K,-1.20%
May 25  2015,70.11,69.76,70.35,69.76,25.12K,-0.04%
May 22  2015,70.14,69.34,70.75,68.41,148.65K,0.83%
May 21  2015,69.56,69.40,70.15,68.49,207.34K,0.23%
May 20  2015,69.40,68.50,69.55,68.06,214.59K,1.58%
May 19  2015,68.32,67.00,68.69,66.64,508.91K,3.52%
May 15  2015,66.00,65.75,66.41,65.47,108.86K,0.55%
May 14  2015,65.64,65.00,65.98,64.56,187.67K,1.34%
May 13  2015,64.77,64.47,65.00,63.88,100.44K,0.20%
May 12  2015,64.64,64.78,65.39,64.19,148.30K,-0.89%
May 11  2015,65.22,64.14,65.30,64.14,319.57K,1.86%
May 08  2015,64.03,64.12,64.15,63.13,145.83K,0.20%
May 07  2015,63.90,64.25,64.30,62.97,123.25K,-0.23%
May 06  2015,64.05,63.92,64.39,63.28,166.75K,0.52%
May 05  2015,63.72,63.61,65.00,63.08,313.72K,-0.36%
May 04  2015,63.95,63.39,64.25,63.00,197.10K,1.11%
May 01  2015,63.25,62.06,63.28,61.01,230.43K,1.88%
Apr 30  2015,62.08,62.33,62.96,61.45,183.20K,-0.97%
Apr 29  2015,62.69,62.40,63.00,61.39,282.04K,-0.14%
Apr 28  2015,62.78,63.77,63.77,62.01,244.16K,-1.55%
Apr 27  2015,63.77,64.50,64.65,63.28,226.41K,-1.36%
Apr 24  2015,64.65,64.17,65.87,63.29,720.23K,6.72%
Apr 23  2015,60.58,60.33,61.15,60.00,185.14K,0.90%
Apr 22  2015,60.04,59.63,60.51,59.62,389.40K,0.52%
Apr 21  2015,59.73,60.70,60.87,59.22,367.06K,-0.65%
Apr 20  2015,60.12,61.04,61.27,60.00,144.72K,-1.13%
Apr 17  2015,60.81,62.25,62.26,60.00,260.96K,-2.30%
Apr 16  2015,62.24,63.41,63.94,61.74,421.60K,-2.38%
Apr 15  2015,63.76,63.70,64.56,63.32,425.39K,0.50%
Apr 14  2015,63.44,63.65,64.59,62.96,431.24K,-0.28%
Apr 13  2015,63.62,62.34,64.82,62.34,428.13K,3.35%
Apr 10  2015,61.56,61.27,62.15,60.85,211.98K,0.74%
Apr 09  2015,61.11,60.99,61.37,60.25,172.35K,-0.07%
Apr 08  2015,61.15,60.34,61.44,60.15,247.07K,1.09%
Apr 07  2015,60.49,61.75,61.93,59.79,313.78K,-2.33%
Apr 06  2015,61.93,62.04,62.10,60.84,187.38K,-0.37%
Apr 02  2015,62.16,63.78,63.78,62.03,305.33K,-2.54%
Apr 01  2015,63.78,64.50,64.50,63.18,251.43K,-1.57%
Mar 31  2015,64.80,66.35,66.35,63.95,414.07K,-2.56%
Mar 30  2015,66.50,67.40,67.83,65.77,370.74K,-0.88%
Mar 27  2015,67.09,65.50,67.22,65.50,257.66K,2.73%
Mar 26  2015,65.31,64.34,65.47,63.04,226.82K,0.23%
Mar 25  2015,65.16,65.80,67.36,64.75,425.80K,0.54%
Mar 24  2015,64.81,62.64,64.91,61.85,383.70K,3.56%
Mar 23  2015,62.58,62.50,62.84,61.20,202.29K,0.98%
Mar 20  2015,61.97,63.96,64.00,61.31,199.49K,-1.90%
Mar 19  2015,63.17,62.75,63.32,62.05,139.54K,0.70%
Mar 18  2015,62.73,63.63,64.25,61.78,188.31K,-1.32%
Mar 17  2015,63.57,61.88,63.80,60.52,224.39K,1.91%
Mar 16  2015,62.38,61.52,63.69,61.28,159.24K,0.35%
Mar 13  2015,62.16,63.56,63.94,61.37,193.16K,-2.63%
Mar 12  2015,63.84,64.36,65.67,63.66,221.52K,-0.13%
Mar 11  2015,63.92,63.43,64.83,63.42,240.11K,0.72%
Mar 10  2015,63.46,65.98,65.99,63.09,346.00K,-4.37%
Mar 09  2015,66.36,65.28,66.95,64.50,296.44K,0.87%
Mar 06  2015,65.79,67.40,68.83,65.39,335.42K,-2.32%
Mar 05  2015,67.35,65.84,67.93,65.71,227.70K,2.59%
Mar 04  2015,65.65,65.60,66.51,64.28,398.98K,-0.65%
Mar 03  2015,66.08,68.71,68.72,66.00,317.41K,-3.76%
Mar 02  2015,68.66,68.67,69.00,66.14,387.21K,0.88%
